"file_name","start_date","end_date","salary_start","salary_end","classcode","req","notes","duties","selection","experience_length","education_length","application_location"
"SENIOR DATA PROCESSING TECHNICIAN ","2017-08-11","2017-08-24","52304.0","76463.0","1139","Two years of full-time paid experience with the City of Los Angeles as a Data Processing Technician, Data Entry Supervisor, Computer Operator, or Documentation Technician.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Senior Data Processing Technician assigns, reviews and evaluates the work of Data Processing Technicians engaged in the processing of data within a centralized computer agency or works independently performing highly responsible and sensitive data processing functions; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,"Two",,"Online"
"ANIMAL CARE TECHNICIAN ","2016-04-01","2016-04-21","38565.0","56396.0","4310",,"1. Higher salaries are paid for night work.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,"[Test, Interview]",,,"Online"
"SHIP CARPENTER ","2016-09-30","2016-10-13",,,"3348","1. Completion of a recognized apprenticeship as a ship carpenter; or  2. Six years of full-time paid experience performing boat building or repair work.","The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Ship Carpenter does specialized carpentry in building, maintaining, drydocking, and repairing barges, launches, rowboats, tugs, pilot boats, and other vessels, and floats and docks.",,"Six",,"Online"
"AIRPORT SUPERINTENDENT OF OPERATIONS ","2015-12-18","2015-12-31","53682.0","78467.0","7268",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.   3. A shift differential bonus is paid if 50% of the work hours are between 5:00 p.m. and 8:00 a.m.",,,"Two","four","Online"
"RISK MANAGER ","2016-06-17","2016-06-30","81161.0","115487.0","1530",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,,"Two","four","Online"
"WATER UTILITY SUPERINTENDENT ","2016-07-29","2016-08-18","119433.0","148394.0","3980","Three years of full-time paid experience as a Water Utility Supervisor, Water Service Supervisor, Water Utility Operator Supervisor, Water Treatment Supervisor, or Waterworks Mechanic Supervisor with the City of Los Angeles. Only applicants that are currently or have previously worked in the Department of Water and Power in DDR numbers 92-39133, 93-39129, 93-39131, 93-39132, 93-39134, 93-39044, 93-39043, 93-39124, 93-39122, 93-39123, 93-58131, 93-58130, 93-58129, 93-58107, 93-58115, 93-39104, or 93-39103, and meet the above noted requirements qualify to take this examination.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Water Utility Superintendent plans, organizes and directs craft employees engaged in construction, maintenance, and operation activities within the Water Services Organization; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview, Essay]","Three",,"Online"
"PHOTOGRAPHER ","2016-04-15","2016-04-28","47752.0","69822.0","1793",,"1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Higher salaries are paid for night work.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  4. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,,"Three",,"Online"
"ADMINISTRATIVE HEARING EXAMINER ","2015-10-09","2015-10-22","54726.0","80012.0","9135",,"The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Interview]","Two",,"Online"
"BUILDING INSPECTOR ","2018-10-19","2018-11-01","83144.0","100516.0","4211","1. Four years of full-time paid experience as a building, construction, housing or combined inspector, engaged in a variety of building structural construction work for or on behalf of a governmental agency; or  2. Four years of full-time paid experience as a licensed general, masonry, concrete, structural steel or framing and rough carpentry contractor engaged in a variety of building structural construction work; or  3. Two years of full-time paid experience in carpentry, masonry, concrete, structural steel or framing and rough carpentry work following the completion of a recognized apprenticeship program; or  4. Eight years of full-time paid experience in carpentry, masonry, concrete, structural steel or framing and rough carpentry work; or  5. One year of full-time paid experience as an Assistant Inspector III with the City of Los Angeles.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Building Inspector inspects commercial and apartment buildings, their appendages, and sites for conformance to building, grading, and zoning laws and regulations and approved plans, specifications, and standards; and assists in training other inspectional employees as required.","[Test]","Four",,"Online"
"UTILITY ACCOUNTANT ","2018-09-28","2018-10-11","71868.0","89303.0","1511","Graduation from an accredited four-year college or university and at least 24 semester or 36 quarter units in accounting.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Utility Accountant performs professional accounting, finance, and/or audit-related work. The scope of such work includes the analysis, preparation and maintenance of financial records and reports; treasury and financial activities; and internal audit reviews at the Department of Water and Power.","[Interview]",,"four","Online"
"PERSONNEL RECORDS SUPERVISOR ","2018-04-13","2018-04-26","57691.0","84334.0","1129","Two years of full-time paid office clerical experience in a class at the level of Senior Administrative Clerk.","1. Annual salary is at the beginning of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Personnel Records Supervisor plans, organizes and directs the work of clerical employees and independently performs responsible and difficult clerical work involving the preparation, processing and maintenance of a wide variety of personnel forms, documents and records; develops and interprets personnel procedures; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Test, Essay, Interview]","Two",,"Online"
"CHIEF OF PARKING ENFORCEMENT OPERATIONS  ","2018-03-16","2018-03-29","123067.0","179944.0","9180","1. Two years of full-time paid experience as a Parking Enforcement Manager with the City of Los Angeles; or  2. Two years of full-time paid experience in a position with the City of Los Angeles at the level of Senior Management Analyst II performing professional administrative work.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Chief of Parking Enforcement Operations directs and coordinates the City's parking enforcement and intersection control program which includes ticket writing, towing and impoundment, booting, and directing vehicular and pedestrian traffic; and may direct the City's Crossing Guard Program.","[Essay, Interview]","Two",,"Online"
"COMMISSION EXECUTIVE ASSISTANT  ","2018-09-21","2018-10-04","55332.0","80930.0","9734","Two years of full-time paid experience as a Secretary, or in a class at that level in office clerical work.","1. Commission Executive Assistants Il assigned to the Fire, Police and Personnel Departments will receive a bonus of 5.5%.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Commission Executive Assistant supervises or performs all administrative and clerical functions for one or more City Commissions or Board Office; maintains the Commission's official public records; prepares or supervises the preparation and distribution of the agenda and minutes of Commission meetings in compliance with the Ralph M. Brown Act; advises the Commission on procedures, precedents and policies; interfaces with, and provides information to the public and/or other City agencies relative to Commission procedures and/or actions; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Test, Essay, Interview]","Two",,"Online"
"AIRPORT POLICE LIEUTENANT ","2016-09-16","2016-09-29","102186.0","134028.0","3227","Two years of full-time paid experience as an Airport Police Sergeant with the Los Angeles World Airports, or in a class at that level, one year of which must have involved full-time responsibility for the deployment and functioning of law enforcement, safety, and security personnel in the performance of their duties at a Los Angeles World Airports facility.","Applicants are urged to apply early to ensure you have time to resolve any technical issues you may encounter.    APPLICATION DEADLINE    Applications must be received by THURSDAY, SEPTEMBER 29, 2016.            SELECTION PROCESS    After meeting minimum qualifications, candidates will be scheduled for the following:    Examination Weights: Written Test . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Qualifying                                  Essay  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . .  Advisory                                  Interview (including City Application, Advisory Essay, and Personnel Folder)  . . . . . . . . . . . . . . . . . 100%    In the qualifying written test, which will consist of multiple-choice questions, candidates may be examined for knowledge of: laws and regulations governing Airport Police employees and the aviation industry; policies and procedures governing Airport Police employees; airport and aviation security and law enforcement policies, practices, and techniques; laws of arrest and elements of a crime; methods of patrolling and safeguarding airport property, buildings, installations, and adjacent facilities and roadways; safety principles and practices; rules of evidence pertaining to search and seizure in an airport environment; use of force and pursuit policy; Public Safety  Officers Procedural Bill of Rights; Los Angeles World Airports organizational structure; City personnel rules, policies, and procedures; techniques in counseling and motivating subordinates; techniques in training, instructing and evaluating subordinate work performance; sound supervisory and management principles and practices; Equal Employment Opportunity responsibilities; Memoranda of Understanding of subordinate employees; grievance investigation and resolution; ability to understand and apply complex policies and procedures; analyze and interpret statistical information used in implementing deployment strategies and identifying crime trends; and other necessary knowledge and abilities.      The multiple-choice questions, with the possible exception of questions intended to test analytical ability in which all pertinent information is provided, will be from sources listed on the published bibliography.  Copies of the bibliography will be available on-line at https://per.lacity.org/exams/3227Biblio.pdf.    Candidates will also be notified later by e-mail of the time and location of the written test, which will be administered in a single half-day session in Los Angeles. It is anticipated that the written test will be held on SATURDAY, OCTOBER 22, 2016.      At the time of the multiple-choice test candidates will be required to complete an advisory essay.  This essay material will not be separately scored, but will be presented to the interview board for discussion with the candidate, and will be considered in the overall evaluation of the candidates' qualifications. Those who do not complete the advisory essay will not be invited to the interview and will be considered to have failed the entire examination.    Candidates must complete the advisory essay and achieve a passing score in the qualifying written test in order to be call for the interview.    In the interview, emphasis will be placed on the candidate's experience and quality of performance as they have prepared to perform the","An Airport Police Lieutenant plans, supervises, directs and controls employees of the Airport Police Division of the Los Angeles World Airports (LAWA), civilian and sworn, during a specific time period, watch, or in a particular unit; applies sound supervisory and management techniques to ensure the mission of the Airport Police Division of the Los Angeles World Airports is met through the enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any of the four City of Los Angeles airports; and does other related work.","[Test]","Two",,"Online"
"TREASURY ACCOUNTANT ","2016-10-28","2016-11-10","59904.0","87591.0","1609","1. Graduation from an accredited four-year college or university with a bachelor's or a master's degree in accounting, finance, economics, or business administration; and   2. Three years of full-time paid professional experience in treasury operations, banking, or finance accounting activities, in any of the following areas:  investment accounting, escrow services, assessment district accounting, structured finance reporting, monitoring investment and debt activity, effectuating payment of debt service, escheatment processing, cost accounting, cost allocation, cash management and cash flow analysis.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Treasury Accountant performs professional treasury/banking accounting work in the analysis, preparation, maintenance, or evaluation of financial reports, account reconciliation, debt management, investment accounting, and general accounting of City treasury funds, and commercial, custodial and merchant accounts, within the Office of Finance and may act as a lead in the performance of such work.",,"Three","four","Online"
"OCCUPATIONAL HEALTH NURSE ","2017-02-03","2017-03-02","72309.0","88635.0","2314",,"1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","An Occupational Health Nurse performs professional nursing services including performing and assisting with post offer examinations, environmental health assessments, return-to-duty evaluations, cardiac stress testing, drug testing, tuberculosis screening, administering vaccinations, managing blood borne pathogen exposures, identifying and assessing safety risks, assisting in the development of policies and procedures, and conducting training and education.  An Occupational Health Nurse may also be responsible for managing workers' compensation cases.","[Questionnaire]","One",,"Mail or In Person"
"SHEET METAL WORKER ","2016-09-30","2016-10-13","76692.0","95275.0","3775","1. Completion of a recognized apprenticeship as a sheet metal worker; or  2. Five years of full-time paid experience in sheet metal work.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Sheet Metal Worker performs skilled work in layout, fabrication, assembly, installation and repair of a variety of sheet metal parts and equipment, including commercial truck parts and panels, boxes, lockers, cabinets, shelves, table tops, sinks, range hoods, rain gutters, downspouts, flashings, fluid tanks and air-conditioning ventilating ducts; and in the maintenance, installation, adjustment and repair of duct work, filters, blowers and forced-air heating, cooling and ventilating control devices and systems; occasionally performs arc, gas, and MIG welding; and calibrates pneumatic controls and performs air balancing.","[Test]","Five",,"Online"
"SUPPLY SERVICES MANAGER ","2018-09-28","2018-10-11","102353.0","149667.0","1865","1. Two years of full time paid experience with the City of Los Angeles as a Procurement Supervisor, Senior Utility Buyer, or Stores Supervisor; or  2. Three years of full time paid experience with the City of Los Angeles as a Principal Storekeeper.    A valid certification as one of the following may be substituted for one year of the required experience:  a. Certified Professional in Supply Management (CPSM) issued by the Institute for Supply Management; or  b. Certified Purchasing Manager (CPM) issued by the Institute for Supply Management; or  c. Certified Professional Contracts Manager (CPCM) issued by the National Contracts Management Association; or  d. Certified Public Procurement Officer (CPPO) issued by the Universal Public Procurement Certification Council; or  e. Certified Professional Public Buyer (CPPB) issued by the Universal Public Procurement Certification Council","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Supply Services Manager plans, organizes and directs the work of either a centralized City commodity store, or purchasing or materials management activities in a City department; may plan, organize and direct the City's centralized purchasing, materials management, and related distribution activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.","[Essay, Interview]","Two",,"Online"
"POLICE SERVICE REPRESENTATIVE ","2016-05-13",,"50550.0","71911.0","2207",,"1. Some positions may be entitled to additional negotiated compensation for MOU provisions such as some shift assignments, authorized bi-lingual pay, and assignment location.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,"[Test, Interview]",,,"Mail or In Person"
"CEMENT FINISHER SUPERVISOR ","2016-12-09","2016-12-22","91830.0","96945.0","3354","Four years of full-time paid experience as a Cement Finisher or Masonry Worker with the City of Los Angeles.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Cement Finisher Supervisor assigns, reviews and evaluates the work of a group of cement finishers and other employees engaged in mixing, placing, and finishing concrete; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Test]","Four",,"Online"
"SENIOR MANAGEMENT ANALYST ","2018-04-06","2018-04-19","81035.0","118473.0","9171","Two years of full-time paid experience as a Management Analyst or in a class at that level which provides professional experience in administrative, financial, grants, legislative, or personnel work.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Senior Management Analyst directs professional and clerical personnel in performing a wide range of administrative, financial, grants, legislative, and/or personnel work; personally performs the more difficult work; may act as staff advisor to management; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Test, Essay, Interview]","Two","four","Online"
"COMPLIANCE PROGRAM MANAGER  ","2018-11-16","2018-11-29","90640.0","132546.0","9165","1. Two years of full-time paid experience at the level of Senior Management Analyst developing, implementing and monitoring departmental or organization-wide programs designed to ensure compliance with labor laws, affirmative action, and business diversity policies, rules and regulations, contract and/or employer related City ordinances; or  2. Five years of full-time paid professional experience with the City of Los Angeles developing, implementing, and monitoring departmental or organization-wide programs designed to ensure compliance with labor laws, affirmative action, and business diversity policies, rules and regulations, contract and/or employer related City ordinances.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Compliance Program Manager plans, organizes and directs the work of a large staff of professional, paraprofessional and administrative employees in the Department of Public Works, Bureau of Contract Administration, who provide a variety of compliance services and enforcement activities, which includes reviewing contractor or business applications and bid proposals, conducting field audits and investigations, analyzing payroll records, calculating wage restitutions and penalty assessments, negotiating settlement agreements to correct violations, administering contracts with consultants to support Bureau activities, managing citywide outreach efforts, and recommending approval or denial of affirmative action plans, contract awards or penalties, and certification of businesses by applying consistent and objective criteria; applies supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and does related work.","[Essay, Interview]","Two","four","Online"
"STRUCTURAL ENGINEER ","2018-10-19","2018-11-01","94857.0","138643.0","7956","Authority to use the title Structural Engineer, issued by the California State Board of Registration for Professional Engineers, Land Surveyors, and Geologists.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Structural Engineer performs professional engineering work in supervising an engineering group engaged in checking structural plans for conformance to building and zoning code regulations; closely overseeing or personally checking plans for the more complex and high rise structures; preparing or overseeing plans, designs, and specifications for a variety of structures; makes special structural engineering studies; provides structural engineering support during construction, including structural observations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,"Online"
"FIRE CAPTAIN ","2018-03-30","2018-04-12","119016.0","132650.0","2142","Four years of full-time paid experience as a uniformed member of the City of Los Angeles Fire Department by December 16, 2018. Under the policy of rounding experience to the nearest full month, continuous service beginning on or before December 30, 2014 meets the requirement. Candidates cannot be appointed until the full requirement is met.    Completion of 15 semester or 24 quarter units in Fire Science/Fire Protection Administration at an accredited college or university may be substituted for a maximum of six months of the required experience.    SELECTIVE CERTIFICATION    In accordance with Charter Section 1010 (b) and Civil Service Rule 5.31, selective certification will be used for some positions that require special skills and/or training in one or more of the following areas. Only persons possessing the following at the time of filing may be considered for appointment to fill such positions:    a. Successful completion of fire suppression training and four years of fire suppression certified experience with the City of Los Angeles Fire Department, or:  b. Possession of a valid Paramedic License issued by the State of California Emergency Medical Services Authority with paramedic accreditation by the County of Los Angeles Department of Health Services.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Fire Captain commands a fire company, task force, or unit involved in fire suppression, fire prevention, arson investigation, communications, training, helicopter and tractor operations, maintenance of rescue equipment, or occupational safety and health activities; may supervise Emergency Medical Service (EMS) activities and personnel within an EMS District; or performs specialized staff work such as planning, community relations, or serving as a liaison officer.","[Test, Exercises, Interview]","Four",,"Online"
"FISCAL SYSTEMS SPECIALIST ","2018-10-19","2018-11-01","87883.0","128516.0","1555","1. Three years of full-time paid experience in accounting or financial auditing in a class at the level of Senior Accountant; and two years of full time paid experience in analysis, design, or development of computer-based financial systems, or  2. Three years of full time paid experience in systems analysis design, development, or data processing in a class at the level of Systems Analyst; and two years of full-time paid professional experience in governmental accounting or financial auditing.    Successful completion of 12 semester or 18 quarter units in system design and analysis or data processing from an accredited four-year college or university may be substituted for a maximum of one year lacking in Requirement #1; or    Successful completion of a total of 12 semester or 18 units in accounting or auditing from an accredited four year college or university may be substituted for a maximum of one year lacking in Requirement #2.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Fiscal Systems Specialist coordinates the computer-based financial system of the Controller's Office and other City departments with supportive data processing activities of the Information Technology Agency; conducts on-going and periodic reviews and/or analyses of computer-based financial and other systems of the City; analyzes complex financial, operating and other statistical data using algorithms and computer-based financial systems; and under direction, enforces Citywide standards for data security and internal control safeguards; or may supervise and direct the work of employees engaged in such activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay, Interview]","Three","four","Online"
"ELECTRIC METER SETTER ","2017-01-20","2017-02-02","70386.0","74311.0","3822","1. One year of full-time paid experience as a helper in an electrical trade; or  2. Completion of eight months as a Utility Pre-Craft Trainee (UPCT) with the LADWP performing duties as a helper in an electrical trade.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","An entry-level Electric Meter Setter works as a trainee under close supervision assisting journey-level Electric Meter Setters in the performance of their duties. Trainees receive extensive classroom training as well as on-the-job training. A journey-level Electric Meter Setter installs, changes and removes a large variety of electric meters and metering equipment on the premises of industrial, commercial and domestic consumers, and performs related work.","[Test]","One",,"Online"
"SENIOR PARK SERVICES ATTENDANT ","2017-10-27","2017-11-09","46625.0","68173.0","2422","1. One year of full-time paid experience with the City of Los Angeles as a Park Services Attendant or in a class at that level which provides experience collecting cash from the public, accounting for such collections, and providing public service in a customer service environment; or  2. Two years of full-time paid experience supervising employees engaged in collecting cash from the public, accounting for such collections, and providing public service in a customer service environment.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Senior Park Services Attendant supervises Park Services Attendants and other employees engaged in operating a variety of City-owned entrepreneurial public service operations which collect revenue and are located in City parks, golf courses or other recreational facilities, such as the Los Angeles Zoo and Park Film Office; coordinates and is responsible for the daily operation and condition of the facility; assigns, reviews, and evaluates the work of employees in assisting the public at City parks and recreational areas and personally handles the more difficult public contact situations; performs routine auditing functions; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.    NOTE:     Senior Park Services Attendants will be required to work weekends, holidays, and nights on a regular basis.","[Essay, Interview]","One",,"Online"
"METER READER ","2015-08-07","2015-09-20","56041.0","69634.0","1611",,"1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.   2. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Test, Test]",,,"Online"
"SOCIAL WORKER ","2017-10-27","2017-11-09","58171.0","85044.0","2385","Graduation from an accredited four-year college or university with a degree in social work, social welfare, gerontology or psychology.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade position.","A Social Worker performs a variety of professional social work tasks involving individuals, families, groups and communities; provides information and assistance to program recipients, caregivers and other professionals providing services to clients; performs continuing client assessment, diagnosis and treatment plans for various social services programs; may assign, review and evaluate the work of a group of employees engaged in delivering social services, including applying sound supervisory principles and techniques including building and maintaining an effective work force and fulfilling equal employment opportunity responsibilities, and personally conducts clinical assessments.","[Questionnaire]","five","four","Online"
"SENIOR ENVIRONMENTAL ENGINEER ","2015-12-18","2015-12-31","109098.0","135552.0","7874",,"The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Essay, Interview]","Two",,"Online"
"FIELD ENGINEERING AIDE ","2016-09-23","2019-02-23","71451.0","91224.0","7228","1. Successful completion of high school or college-level courses in algebra, geometry, trigonometry and 3 semester or 4 quarter units in plane surveying, and one course in the following: drafting or computer aided drafting; or  2. One year of full-time paid experience as a member of a survey party.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Field Engineering Aide performs sub-professional land surveying work or works with engineering personnel.  A Field Engineering Aide may be required to climb fences, work in confined spaces, work with and around hot asphalt, and carry surveying equipment long distances over various types of terrain; also may be trained to operate Data Collectors, and to set up and operate GPS receivers.","[Test]","One",,"Mail or In Person"
"AUTO PAINTER ","2017-02-24","2017-03-09","77256.0","83561.0","3721","1. Completion of a recognized apprenticeship as an auto painter; or  2. Six years of full-time paid experience in auto painting.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions","An Auto Painter prepares metal and other surfaces on automotive equipment for painting; uses spray guns to apply paints, primers, synthetic enamels, polyurethane, and epoxy.",,"Six",,"Online"
"MECHANICAL ENGINEER ","2017-10-06","2017-10-19","119078.0","147934.0","7558","1. Two years of full-time paid professional engineering experience in a position at the level of Mechanical Engineering Associate II, Class Code 7554; and  2. Registration as a Professional Engineer in Mechanical Engineering with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Mechanical Engineer performs responsible mechanical engineering work in assigning, reviewing, and evaluating the work of professional and technical employees engaged in the preparation of plans, designs, specifications, agreements or contracts, engineering economic and cost analysis studies, estimates, conceptual studies, feasibility studies, and reports; directs the construction, installation, inspection, testing, start-up, commissioning, operation, repair, and maintenance of a wide variety of mechanical facilities and appurtenant equipment; utilizes or oversees the utilization of sound project management tools and techniques related to major capital projects; reviews and makes recommendations regarding new technology; identifies and resolves technical, environmental, regulatory and legislative issues associated with the design, construction and operation of facilities, systems and equipment; may supervise the development and implementation of administrative systems and studies; supervises engineers performing technical and administrative work on engineering projects; and applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","[Test]","Two",,"Online"
"SENIOR ANIMAL KEEPER ","2016-02-26","2016-03-10","48964.0","69656.0","4305",,"1. A Senior Animal Keeper is subject to working nights, holidays and weekends on a rotating shift basis at various animal exhibits to meet department needs.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Interview]","Two",,"Online"
